Date,Team,ServeTot,ServeErr,ServePts,RecTot,RecErr,AttackTot,Block,AfterPosErr, AfterPosBlo,AfterPosPts,AfterPosTot,AfterNegErr,AfterNegBlo,AfterNegPts,AfterNegTot,AfterDigErr,AfterDigBlo,AfterDigPts,AfterDigTot
24.01.2024,Raiffeisen Volley Glaronia,94,11,9,91,9,155,8,4,4,38,50,5,1,24,29,6,7,25,76
24.01.2024,Viteos NUC,107,16,9,83,9,142,12,7,3,40,50,2,1,39,18,4,4,42,74
03.02.2024,FKB Power Cats Düdingen,86,11,3,72,4,136,10,3,3,22,41,1,1,11,19,5,5,42,76
03.02.2024,Volley Lugano,85,14,4,75,3,140,10,5,4,29,49,4,1,28,18,8,6,38,73
03.02.2024,Raiffeisen Volley Glaronia,59,8,7,63,6,93,6,2,4,31,35,2,1,12,17,6,2,29,41
03.02.2024,VC Kanti Schaffhausen,73,10,6,51,7,99,7,4,1,39,28,3,1,20,15,2,4,52,56
03.02.2024,Genève Volley,95,9,11,75,7,137,4,4,1,54,28,2,0,39,31,8,6,38,78
03.02.2024,Raiffeisen Volley Toggenburg,81,6,7,86,11,131,7,2,0,35,26,4,3,23,44,8,1,34,61
03.02.2024,VBC Cheseaux,77,19,6,71,6,84,7,2,2,45,29,3,2,25,24,3,4,38,29
03.02.2024,Viteos NUC,95,20,9,56,4,83,9,3,0,59,32,0,1,64,14,6,5,43,37
03.02.2024,Volleyball Academy,110,20,9,94,6,168,12,3,0,39,33,8,3,35,49,8,9,31,86
03.02.2024,Sm'Aesch Pfeffingen,106,12,6,90,9,136,12,3,3,41,32,3,4,31,36,11,5,28,68
15.02.2024,Viteos NUC,73,12,6,56,6,89,9,0,1,62,26,2,1,57,21,1,0,48,42
15.02.2024,FKB Power Cats Düdingen,63,7,6,61,6,82,2,2,5,29,24,1,2,26,27,0,2,68,31
17.02.2024,FKB Power Cats Düdingen,75,8,6,55,8,96,9,2,2,47,30,1,0,42,12,3,3,31,54
17.02.2024,Volleyball Academy,65,10,8,67,6,103,5,3,6,26,23,1,1,30,27,9,2,40,53
17.02.2024,Genève Volley,73,11,8,60,5,113,10,6,2,29,24,1,0,39,23,5,2,27,66
17.02.2024,Raiffeisen Volley Glaronia,67,7,5,62,8,118,4,2,7,28,25,0,2,32,28,10,1,17,65
17.02.2024,Raiffeisen Volley Toggenburg,89,6,9,84,4,160,6,6,6,33,60,0,1,50,14,8,4,28,86
17.02.2024,VBC Cheseaux,94,9,5,83,9,154,11,0,2,46,48,2,2,25,20,10,2,34,86
17.02.2024,Volley Lugano,89,18,5,85,0,125,5,2,2,49,35,3,3,39,41,6,4,49,49
17.02.2024,Sm'Aesch Pfeffingen,94,9,0,71,5,111,9,4,1,67,36,4,3,30,23,4,1,44,52
18.02.2024,Viteos NUC,103,19,9,90,9,141,15,2,4,44,36,6,1,19,36,7,7,32,69
18.02.2024,VC Kanti Schaffhausen,104,14,9,84,9,130,12,4,4,32,28,4,2,46,37,9,9,31,65
24.02.2024,Raiffeisen Volley Glaronia,103,11,6,89,8,173,6,8,3,34,56,1,0,26,23,7,6,29,94
24.02.2024,Volley Lugano,106,17,8,92,6,178,9,6,2,35,68,1,0,15,13,11,4,34,97
24.02.2024,VC Kanti Schaffhausen,101,16,8,84,4,141,7,4,1,52,33,2,2,39,36,7,7,38,72
24.02.2024,Genève Volley,93,9,4,85,8,133,10,8,2,25,32,3,2,40,35,8,3,36,66
24.02.2024,VBC Cheseaux,88,17,7,88,4,154,4,3,4,42,45,3,4,31,36,4,7,31,72
24.02.2024,FKB Power Cats Düdingen,96,8,4,67,4,155,15,0,0,46,26,4,2,32,25,4,2,40,63
24.02.2024,Raiffeisen Volley Toggenburg,74,6,5,53,5,155,4
24.02.2024,Sm'Aesch Pfeffingen,59,6,5,68,5,103,3
24.02.2024,Volleyball Academy,98,18,12,58,2,105,9,3,0,52,27,2,1,38,21,6,7,37,57
24.02.2024,Viteos NUC,75,17,2,80,12,109,8,4,2,28,25,6,4,18,34,5,3,36,50
